Board: ((WBW00000)(WWBW000B)(WWWBWWB0)(WWBWWWWW)(WBWWBBWB)(WWWWWWB0)(WBB00W0B)(BBB00000)) Player Move: [7, 3]
Board: ((WBW00000)(WWBW000B)(WWWBWWB0)(WWBBWWWW)(WBWBBBWB)(WWBBBWB0)(WBBB0W0B)(BBB00000)) Player Move: [3, 6]
Board: ((WBW00000)(WWBW000B)(WWWWWWB0)(WWBWWWWW)(WBWWBBWB)(WWBWBWB0)(WBWW0W0B)(BBBW0000)) Player Move: [3, 7]
Board: ((WBW00000)(WWBBB00B)(WWWBBBB0)(WWBWBWBW)(WBWWBBWB)(WWBWBWB0)(WBWW0W0B)(BBBW0000)) Player Move: [4, 1]
Board: ((WBW00000)(WWBBB00B)(WWWWWWWW)(WWBWBWWW)(WBWWBWWB)(WWBWWWB0)(WBWW0W0B)(BBBW0000)) Player Move: [7, 2]
Board: ((WBW00000)(WWBBB0BB)(WWWWWBBW)(WWBWBWBW)(WBWWBWBB)(WWBWWWB0)(WBWW0W0B)(BBBW0000)) Player Move: [6, 1]
Board: ((WBW00000)(WWWWWWBB)(WWWWWWWW)(WWBWBWBW)(WBWWBWBB)(WWBWWWB0)(WBWW0W0B)(BBBW0000)) Player Move: [5, 1]
Board: ((WBW00000)(WWWWWWBB)(WWWWWWWW)(WWBWBWBW)(WBWWBWBB)(WWBWBBB0)(WBBBBW0B)(BBBW0000)) Player Move: [4, 6]
Board: ((WBW00000)(WWWWWWBB)(WWWWWWWW)(WWBWWWBW)(WWWWWWBB)(WWWWWBB0)(WBBWWW0B)(BBBWW000)) Player Move: [4, 7]
Board: ((WBW00B00)(WWWWBBBB)(WWWBWBWW)(WWBWWBBW)(WWWWWBBB)(WWWWWBB0)(WBBWWW0B)(BBBWW000)) Player Move: [5, 0]
Board: ((WBW00B00)(WWWWBBBB)(WWWBWBWW)(WWBWWWBW)(WWWWWBWW)(WWWWWWWW)(WBBWWW0B)(BBBWW000)) Player Move: [7, 5]
Board: ((WBW00B00)(WWWWBBBB)(WWWBWBWW)(WWBWWWBW)(WWWWWBBW)(WWWWWWBW)(WBBBBBBB)(BBBWW000)) Player Move: [6, 6]
Board: ((WBW00B00)(WWWWBBBB)(WWWBWBWW)(WWBWWWWW)(WWWWWBWW)(WWWWWWWW)(WBBBBWWB)(BBBWW0W0)) Player Move: [6, 7]
Board: ((WBW00B00)(WWWWBBBB)(WWWBWBWW)(WWBWWWWW)(WWWWWBWW)(WWWWWBWW)(WBBBBBWB)(BBBBBBW0)) Player Move: [5, 7]
Board: ((WBW00B0W)(WWWWBBWW)(WWWBWWWW)(WWBWWWWW)(WWWWWBWW)(WWWWWBWW)(WBBBBBWB)(BBBBBBW0)) Player Move: [7, 0]
Board: ((WBBB0B0W)(WWWBBBWW)(WWWBWWWW)(WWBWWWWW)(WWWWWBWW)(WWWWWBWW)(WBBBBBWB)(BBBBBBW0)) Player Move: [3, 0]
Board: ((WWWWWB0W)(WWWWWWWW)(WWWBWWWW)(WWBWWWWW)(WWWWWBWW)(WWWWWBWW)(WBBBBBWB)(BBBBBBW0)) Player Move: [4, 0]
Board: ((WWWWWB0W)(WWWWWWWW)(WWWBWWWW)(WWBWWWWW)(WWWWWBWW)(WWWWWBWW)(WBBBBBBB)(BBBBBBBB)) Player Move: [7, 7]
Board: ((WWWWWWWW)(WWWWWWWW)(WWWBWWWW)(WWBWWWWW)(WWWWWBWW)(WWWWWBWW)(WBBBBBBB)(BBBBBBBB)) Player Move: [6, 0]
